微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwyNEA0si,2020年2月29日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例10例。2月29日江苏无新增新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-03-01 09:45,OPPO R9,6,0,4
IwyrUgdvI,#微观民生#【2020年泰州市区改善民生实事项目敲定】为全面贯彻落实党的十九大和十九届二中、三中、四中全会精神，坚持以人民为中心的发展思想，高水平全面建成小康社会，市委、市政府决定2020年继续实施市区改善民生实事，具体分为10大类，涉及交通、就业、教育、医保等 。  原图 ,,http://wx2.sinaimg.cn/large/be780da6gy1gcdbr47l3zj20fk0j5ab9.jpg,无,无,2020-03-01 08:52,微博 weibo.com,34,7,14
IwyeQAmAO,#今日天气# 早安，泰州！今天多云到阴，局部有阵雨，东北风3级。今天最高气温：12℃，明晨最低气温：4℃。  原图 ,,http://wx2.sinaimg.cn/large/be780da6ly1gce478m5noj208305ut8l.jpg,无,无,2020-03-01 08:19,OPPO R9,2,0,0
Iwt118kWE,#微观民生# 苏Ｍ车主注意｜3月2日起，恢复办理全市车驾管现场业务啦！苏Ｍ车主注意｜3月2日起，恢复办理全市车驾管现场业务啦！  ,,无,无,无,2020-02-29 19:02,微博 weibo.com,5,0,1
IwsLZmMAQ,#微观民生#【驻企服务点护航复工达产】为确保辖区物流行业顺利复工，保障人民群众日常生活需要，海陵物流园区派出所近日在辖区京东物流设置驻企服务点，保障进出货车通行顺畅，对货车司机和流动性员工身份进行核查并采取有力防控措施，阻断疫情蔓延途径。同时，由社区民警担任企业“服务员”、“联络员”，强化流动人员管理和安全防范指导。 原图 ,,http://wx4.sinaimg.cn/large/be780da6gy1gcdbytngwwj21400u0b29.jpg,无,无,2020-02-29 18:25,微博 weibo.com,1,0,0
IwstJmgHC,#微观民生#【二十条新政支持城乡建设企业稳定持续发展】面对新冠肺炎疫情的影响，如何保障城乡建设企业稳定持续发展？近日，市政府办出台20条政策，从复工、信贷、社保、税费、补助等多个方面支持城乡建设企业稳定持续发展。  ,,无,无,无,2020-02-29 17:40,微博 weibo.com,0,0,1
Iwsbssvdm,#微观民生#【“新时代初心贰号”顺利通过沪通大桥】日前，在海事部门精心维护下，江苏新时代造船有限公司建造的32.5万吨试航船“新时代初心贰号”顺利通过沪通大桥。  原图 ,,http://wx1.sinaimg.cn/large/be780da6gy1gcdboi8u72j20b406875i.jpg,无,无,2020-02-29 16:55,微博 weibo.com,5,1,0
Iws4yzh1a,#微观民生# 央视点赞泰州！全长1分27秒。刚刚，央视点赞泰州！全长1分27秒  ,,无,无,无,2020-02-29 16:38,微博 weibo.com,11,0,0
IwrIgzg0s,#权威发布# 2月28日，全市开发园区改革工作座谈会召开。市委书记史立军在会上强调，要深入落实党中央、国务院和省委省政府决策部署，按照市委五届九次全会要求，围绕专业化、集群化、高端化、国际化发展方向，以刀刃向内的决心、舍我其谁的担当，深入推进开发园区机制体制改革，确保园区改革改出活力、改出效率、改出经济发展的新动力。 ,,无,无,无,2020-02-29 15:43,360安全浏览器,1,0,0
Iwq7EwBSv,#微观民生# 江苏继续推迟学生返校江苏继续推迟学生返校  ,,无,无,无,2020-02-29 11:40,OPPO R9,0,0,0
IwpG3CF9I,#权威发布# 致全市广大市民的倡议书致全市广大市民的倡议书  ,,无,无,无,2020-02-29 10:32,OPPO R9,5,0,3
IwpFtjJsA,#微观民生# “我一句话没讲，你竟知道我的心思！”泰州，暖了困难群众心……“我一句话没讲，你竟知道我的心思！”泰州，暖了困难群众心……  ,,无,无,无,2020-02-29 10:30,OPPO R9,2,0,0
IwpDhF3zK,#微观民生# 江苏省疫情风险等级名单公布！泰州的风险等级是“低”。最新！江苏省疫情风险等级名单公布！泰州的风险等级是…  ,,无,无,无,2020-02-29 10:25,OPPO R9,4,0,1
IwoXN7DkE,2020年2月28日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例13例。2月28日江苏无新增新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-02-29 08:43,OPPO R9,10,0,0
IwoNfaS6S,#今日天气# 早安，泰州！今天白天阴有阵雨，夜里阴到多云。东北风3到4级。今天最高气温：11℃，明晨最低气温：6℃。  原图 ,,http://wx4.sinaimg.cn/large/be780da6ly1gccyi32bt5j208m062mx2.jpg,无,无,2020-02-29 08:17,OPPO R9,2,0,0
IwkaW6UAw,#权威发布# 为响应党中央对广大党员的号召，我市动员组织党员捐款支持新冠肺炎疫情防控工作。今天，市委书记、市人大常委会主任史立军，市委副书记、市长朱立凡，市政协主席卢佩民，市委副书记张迅带头捐款。其他市委常委和市人大常委会、市政府、市政协领导同志也在各自单位党组织进行捐款。http://t.cn/A67q6Ztg ,,无,无,无,2020-02-28 20:31,OPPO R9,2,0,0
IwkaitpJE,#微观民生# 降！减！免！泰州市发改委支持“四稳”意见来了降！减！免！泰州市发改委支持“四稳”意见来了  ,,无,无,无,2020-02-28 20:30,OPPO R9,2,0,0
IwjoK74ia,#微观民生#【姜堰真金白银鼓励留乡就业创业】姜堰区日前出台《关于促进返乡务工人员本地就业创业的奖励暂行办法》，鼓励更多的外出务工人员能够投身家乡经济建设，保复工、保就业、创成业。 办法分六大条，条条真金白银。如关于鼓励返乡务工人员本地就业，《办法》明确外出务工人员留在区内企业就业，并签订一年以上劳动合同、缴纳社会保险3个月以上的，凭区外参保缴费证明给予返乡务工人员一次性就业补贴1000元。 ,,无,无,无,2020-02-28 18:33,微博 weibo.com,1,0,1
Iwj5g7ino,#微观民生#【党员干部结对精准帮扶】大“疫”当前，子女在外，家里“空巢老人”生活保障怎么办？泰州医药高新区凤凰街道党工委超前谋划，结对防疫，精准帮扶，坚决不让困难群体关爱出现任何缺位。该街道辖区党员干部对9名空巢老人、32名孤寡老人、20名五保户及5名孤儿实施一对一帮扶帮办服务，每两天就会到他们家中探视，送上蔬菜、猪肉等新鲜生活必需品，并询问他们还需要什么，为防疫期间出行不便等困难群众解决后顾之忧。 ,,无,无,无,2020-02-28 17:45,微博 weibo.com,3,0,0
IwiOCeF1L,#微观民生#【顶级手套公司捐赠85万双一次性医用检查手套】日前，顶级手套(兴化)有限公司通过兴化市红十字会共捐赠1700箱共85万双一次性聚氯乙烯医用检查手套，用于武汉、泰州疫情防控工作。  原图 ,,http://wx1.sinaimg.cn/large/be780da6gy1gcbxmos7jcj20b40b478a.jpg,无,无,2020-02-28 17:04,微博 weibo.com,104,4,11
Iwiynxnin,#微观民生#【用无人机协助企业厂区消毒】 当前正值企业复工复产之际，姜堰区人武部了解到辖区内部分企业复工过程中遇到厂区面积大、全面消毒难的情况，组织该区民兵无人机分队到部分企业协助进行厂区消毒，助力企业防控生产两手抓。  原图 ,,http://wx2.sinaimg.cn/large/be780da6gy1gcbxm68nlmj20b407etay.jpg,无,无,2020-02-28 16:24,微博 weibo.com,7,0,0
Iwihkvz6u,#微观民生#【社区志愿者充盈独居孤寡老人的“菜篮子”】烹制暖心汤，帮代伙，送米油上门……我市各小区实行出入管控，这是防疫期间的有效之举。随着时间推移，“菜篮子”补充困难成为高龄独居老人、孤寡老人们的燃眉之急，为让他们在疫情期间能安心居家，社区志愿者们各展所长，各尽其能，充盈他们的“菜篮子”，让他们吃得丰富、吃得有营养。 ,,无,无,无,2020-02-28 15:42,微博 weibo.com,3,0,0
IwhXrrckY,#微观民生#【坚守！我们一直在这里】 疫情防控期间，宅在家里的你也许在无聊中数着瓜子，想着每顿饭吃什么，但你可曾想到有这么一群普通人，他们天天坚守在农贸市场、大小超市，保障着我们的“菜篮子”“米袋子”“果盘子”丰盈充实。  [组图共5张] 原图 ,,"http://ww1.sinaimg.cn/large/be780da6gy1gcbxl2hz61j20b407etbo.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcbxl2hv2lj20b4074q5c.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gcbxl2j8quj20b407e41p.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcbxl2jr1gj20b407qjun.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gcbxl2jxkbj20b406sdif.jpg",无,无,2020-02-28 14:53,微博 weibo.com,6,0,0
IwhCl1NEt,#微观民生#【我市落实重要农产品保供工作】市政府近日出台《关于进一步压实生猪稳产保供责任的通知》，要求把生猪稳产保供作为当前和今后一段时期重大政治任务和重点民生工程，坚持一手抓新冠肺炎防控、一手抓生猪生产恢复，有力推动政策措施落实，稳定恢复生猪产能，保障猪肉产品供应和质量安全。  ,,无,无,无,2020-02-28 14:01,微博 weibo.com,1,0,0
Iwh3PEw2Z,#微观民生# 延迟复工，工人薪酬怎么办？小区出入券以后用不用？6个问题，回复来了……延迟复工，工人薪酬怎么办？小区出入券以后用不用？6个问题，回复来了……  ,,无,无,无,2020-02-28 12:36,微博 weibo.com,6,0,1
IwgNc6DJk,#微观民生#【网上人才招聘鹊桥会即日起举办】为解决企业招聘和人才求职难题，市人社局即日起至3月31日举办网上人才招聘鹊桥会，保证疫情期间就业服务不打烊、网上招聘不停歇。泰州人才网开辟了网上人才招聘专区，设立“助力复工 精彩有你”网上专场招聘会、“泰爱才 等你来”高校企业空中双选会两大板块，并专门开发了微信小程序，实现手机客户端与人才网信息互联互通，通过手机即可发布需求信息、应聘意向岗位、查询人才政策，方便企业招聘市内外人才和高校毕业生求职就业。此次鹊桥会不收取任何费用，活动展位不设上限，市人才服务中心将实时在线审核，确保参会单位第一时间对外发布需求信息。 ,,无,无,无,2020-02-28 11:55,微博 weibo.com,0,0,0
IwgtI86zG,#微观民生#【全力以赴保复工 稳住发展基本面】企业是经济的“细胞”，企业复工复产情况关乎持续健康发展。截至2月27日18:00，全市已有连续生产和复工企业16201家，用工总数为399892人。其中，被视为经济运行“稳压器”的规上工业企业已有2522家在产，占全市规上工业企业总数的99.29%。  原图 ,,http://wx1.sinaimg.cn/large/be780da6gy1gcbxjopn3gj20b4069416.jpg,无,无,2020-02-28 11:07,微博 weibo.com,2,0,0
IwgaeqDTc,#微观民生# 【图示泰州市新型冠状病毒肺炎疫情】截至2月27日24时，我市累计确诊的37例新型冠状病毒肺炎患者全部治愈出院。确诊病例中，靖江市14例、泰兴市3例、海陵区3例、高港区4例、姜堰区10例、泰州医药高新区2例、兴化市1例。  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/be780da6gy1gcbweg3c8aj216f0u07wi.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcbwehlqvdj20u016ee84.jpg",无,无,2020-02-28 10:19,360安全浏览器,54,9,16
IwfUmqQf4,2月28日，经江苏省卫生健康委确认，我市无新增确诊新型冠状病毒肺炎病例。新增5例治愈出院病例，为靖江市4例、姜堰区1例。泰州市新型冠状病毒肺炎疫情通报，新增出院病例5例  ,,无,无,无,2020-02-28 09:39,OPPO R9,26,0,7
IwfzIkYfs,2020年2月27日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例12例。1例危重型病例转为重型病例，2例重型病例转为普通型病例。2月27日江苏无新增新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-02-28 08:49,OPPO R9,31,7,13
IwfcOwjbv,#今日天气# 早安，泰州！今天阴有小雨，偏东风转偏北风3到4级。今天最高气温：10℃，明晨最低气温：7℃。  原图 ,,http://wx2.sinaimg.cn/large/be780da6ly1gcbs6bp0spj208m062mx2.jpg,无,无,2020-02-28 07:52,OPPO R9,1,0,1
Iwbkepigk,开学时间原则上继续推迟开学时间原则上继续推迟  ,,无,无,无,2020-02-27 21:59,OPPO R9,10,0,1
IwauIrMin,#微观民生# 按照国务院《关于科学防治精准施策分区分级做好新冠肺炎疫情防控工作的指导意见》和省、市关于疫情防控工作部署要求，在做好疫情防控的基础上，全力保障企业复工复产，为民提供办事便利。泰州交警支队决定自2月27日起，逐步恢复部分交通违法处理窗口业务办理。最新通告！今天开始，逐步恢复……  ,,无,无,无,2020-02-27 19:53,微博 weibo.com,0,0,2
IwadsrVRq,泰州公安升级疫情防控信息登记系统，实现复工人员入泰自动验证泰州公安升级疫情防控信息登记系统，实现复工人员入泰自动验证  ,,无,无,无,2020-02-27 19:10,OPPO R9,5,0,1
Iwa1v3NTW,#微观民生# 截至26日，我市连续13天无新增病例，不少确诊病例已经治愈出院，省内疫情防控应急响应级别也已经由突发公共卫生事件一级响应调整为二级响应。近几日，随着复工和商场的开放，马路上车流、人流量也逐渐多了起来，近日记者在市区随机走访发现，部分市民的警惕意识有所放松，有些小范围聚集甚至不戴口罩。对此，市疾控部门提醒市民，虽然疫情形势较之前有所好转，但远未到可以高枕无忧的地步，该做的防控还需做，市民还得戴口罩。http://t.cn/A67yaq4B ,,无,无,无,2020-02-27 18:41,微博 weibo.com,6,0,0
Iw9AHw5Uc,#微观民生# 我市重点交通工程站前路快速化建设工程6标段今天正式复工，预计今年上半年建成通车。复工啦！这段快速路段预计上半年通车……  ,,无,无,无,2020-02-27 17:35,微博 weibo.com,2,0,0
Iw9irtpHE,#微观民生# 泰州人，请继续坚持：尽量待在家里不外出；不走亲访友，不聚众聚会；戴口罩，勤洗手，常通风紧急提醒：全体泰州人请立即做这件事！  ,,无,无,无,2020-02-27 16:50,微博 weibo.com,4,0,2
Iw94DpTkx,@8000万个体户：国家扶持来了！@8000万个体户：国家扶持来了！  ,,无,无,无,2020-02-27 16:16,微博 weibo.com,2,0,0
Iw8QPFvpG,#微观民生#【抗击疫情，公安干警在行动】在这场新冠肺炎疫情防控阻击战最前线，有这样一群人，他们是奋战在抗疫一线的公安民警、辅警。他们坚守岗位，全力以赴做好防风险、护安全、战疫情、保稳定各项工作，诠释对党、对国家、对人民的忠诚。  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/be780da6gy1gcaq4j4chwj20b407eq5f.jpg,http://ww3.sinaimg.cn/large/be780da6gy1gcaq4j2541j20b408cq4u.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcaq4j38hrj209d0gowil.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcaq4j23t9j20b408bwg5.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcaq4j3fu4j20b407eq5k.jpg,http://ww3.sinaimg.cn/large/be780da6gy1gcaq4j68d9j20b408cdic.jpg,http://ww1.sinaimg.cn/large/be780da6gy1gcaq4jb7tqj20b408hdij.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gcaq4jaou3j20b408c0vi.jpg,http://ww1.sinaimg.cn/large/be780da6gy1gcaq4jc2dwj20b408b41m.jpg",无,无,2020-02-27 15:42,微博 weibo.com,5,2,0
Iw8wWB5id,#微观民生#【陈霞云获“江苏最美防疫先锋”称号】在我们居住的社区，有这样一群人，他们不是医生、不是专家，疫情发生以来，他们却始终坚守一线，走访、排查，他们就是社区工作者。2月25日，中共江苏省委宣传部发布“江苏最美防疫先锋”名单，我市海陵区城南街道锦绣社区党总支副书记陈霞云光荣入选。  原图 ,,http://wx1.sinaimg.cn/large/be780da6gy1gcaq1ddf23j20b407l76m.jpg,无,无,2020-02-27 14:53,微博 weibo.com,3,0,0
Iw8bQ9Fuw,#微观民生#【泰兴农产品加工园发放百万补贴】泰兴市农产品加工园区统筹做好疫情防控和经济发展工作，2月24日决定对35家生产性企业发放稳岗复产补贴，补贴金额达100万元。园区在落实好疫情防控企业主体责任的基础上，引导企业全面复工复产，对所有返岗员工按每人300元的标准给予补贴；针对企业因筹备防疫物资带来的生产成本增加的实际，按实际复工人数每人补贴50元；对符合政策条件允许的省外来泰返泰人员，由企业租车接回或自行返泰的，给予车旅费用补贴，补贴标准为每人500元。 ,,无,无,无,2020-02-27 14:01,微博 weibo.com,2,0,0
Iw86RDYz5,#微观民生# 力争增产12%！疫情之下，泰州纬创今年计划不降反增。↑12%！疫情之下，泰州纬创今年计划不降反增  ,,无,无,无,2020-02-27 13:48,360安全浏览器,3,0,1
Iw7jrEMRh,#微观民生#【在疫情防控一线精准识别干部】靖江市委组织部对林琴同志提拔使用，泰兴市人民医院“火线”吸收黄兵同志入党，兴化市妇联授予朱安华同志“三八红旗手”称号，高港区推荐杨勇同志入选市“骏马奖”，泰州市公安局给张永平同志记三等功……市委组织部近日发布了一批在抗疫一线运用“三项机制”的典型案例，为泰州打赢疫情防控阻击战汇聚强大力量。 ,,无,无,无,2020-02-27 11:47,微博 weibo.com,1,1,0
Iw6ukfkCW,#微观民生# 图示泰州市新型冠状病毒肺炎疫情。  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/be780da6gy1gcapoptz30j216f0u07wi.jpg,http://ww4.sinaimg.cn/large/be780da6gy1gcaporoomdj20u016ee84.jpg",无,无,2020-02-27 09:41,360安全浏览器,21,1,5
Iw6aH8Lbj,2月27日，经江苏省卫生健康委确认，我市无新增确诊新型冠状病毒肺炎病例。新增4例治愈出院病例，为靖江市3例、海陵区1例。泰州市新型冠状病毒肺炎疫情通报，新增出院病例4例  ,,无,无,无,2020-02-27 08:52,OPPO R9,9,1,3
Iw67GlBW1,2020年2月26日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例31例。2月26日江苏无新增新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-02-27 08:45,OPPO R9,2,0,0
Iw5YNziwW,#微观民生# 莫道春来晚，未到赏花时！泰州人，再等等！莫道春来晚，未到赏花时！泰州人，再等等！  ,,无,无,无,2020-02-27 08:23,OPPO R9,3,0,2
Iw5Osmk7j,#今日天气# 早安，泰州！今天多云转阴有阵雨，夜里雨量小到中等。偏东风4级，阵风5到6级。今天最高气温：12～13℃，明晨最低气温：6～7℃。  原图 ,,http://wx4.sinaimg.cn/large/be780da6ly1gcamphmn2hj208m062mx2.jpg,无,无,2020-02-27 07:57,OPPO R9,3,0,0
Iw1G4EtV4,#微观民生# 因为爱你，离你一米！让“一米线”成为“安全线”、“文明线”！因为爱你，离你一米！让“一米线”成为“安全线”、“文明线”！  ,,无,无,无,2020-02-26 21:26,OPPO R9,3,0,0
Iw1i58mpT,#微观民生# 我市儿童和成人预防接种服务将逐步恢复。@泰州人，我市儿童和成人预防接种服务将逐步恢复！  ,,无,无,无,2020-02-26 20:27,OPPO R9,3,0,1
Iw1eM5R6D,249亿元！今天，泰州又有82个重大项目开工！249亿元！今天，泰州又有82个重大项目开工！  ,,无,无,无,2020-02-26 20:19,OPPO R9,3,1,0
Iw1ec28vC,重磅！国务院发通知，涉及中小学、商场超市、社区……重磅！国务院发通知，涉及中小学、商场超市、社区……  ,,无,无,无,2020-02-26 20:17,OPPO R9,3,1,2
Iw0uUhJZJ,#微观民生#【毫不松懈！逐渐恢复运营的公共交通这样防控】近日，我市乘坐公共交通工具出行的市民逐渐增多，为防止疫情蔓延，交通部门将疫情防控措施落实每一台公共交通工具。从2月21日起，市民乘坐公交车须扫码实名登记，并且要遵守相关流程，每辆公交车上配备专门的统计员，协助乘客登记，同时对乘客测量体温。车上一旦达到50%的乘客时，统计员就会劝导乘客，尽量乘坐下一班车。 [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/be780da6gy1gc9uiqcounj20hs0a0jss.jpg,http://ww1.sinaimg.cn/large/be780da6gy1gc9uiqdmbfj20hs0a0ta7.jpg,http://ww2.sinaimg.cn/large/be780da6gy1gc9uiqcgd6j20hs0a0gni.jpg",无,无,2020-02-26 18:26,微博 weibo.com,10,0,5
Iw09NxDcC,#微观民生# 扬州泰州国际机场计划恢复部分航班的通告 最新通告！  ,,无,无,无,2020-02-26 17:34,微博 weibo.com,5,0,2
IvZPUr1ri,#微观民生#【一场特殊的开标活动】2月24日，泰兴市组织了一场特殊的开标活动。所有人员都经过严格的登记检疫措施，穿上防护服参加开标活动。之所以要组织这么复杂的开标活动，是为了确保一个投资10亿元的重大工业项目能够如期开工。长虹三杰新能源有限公司三期项目计划投资30亿元，先期投资10亿元，新增两条国际先进的全自动智能化生产线及六条智能化PACK生产线。后期，将围绕“国内第一、全球第三”的目标，投资20亿元建设国际一流的锂电池产业园，2022年底前项目全部建成投产。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/be780da6gy1gc9uejdwgcj20cu06cwi5.jpg,http://ww1.sinaimg.cn/large/be780da6gy1gc9uek41uvj20f407vdls.jpg",无,无,2020-02-26 16:45,微博 weibo.com,3,0,1
IvZHJDOme,海内外央企员工同谱战歌 ，战疫征途并肩向前！海内外央企员工同谱战歌 ，战疫征途并肩向前！  ,,无,无,无,2020-02-26 16:24,360安全浏览器,1,0,0
IvZGT4DbN,关于新冠肺炎，中国-世界卫生组织联合专家考察组的N个最新论断关于新冠肺炎，中国-世界卫生组织联合专家考察组的N个最新论断  ,,无,无,无,2020-02-26 16:22,360安全浏览器,0,0,0
IvZFP9TWY,关于中国抗疫，他们想说的不只是感谢关于中国抗疫，他们想说的不只是感谢  ,,无,无,无,2020-02-26 16:20,360安全浏览器,0,0,0
IvZzGAmjv,#微观民生# 再苦再累，也微笑面对！泰州这位“红马甲”获评“江苏最美”再苦再累，也微笑面对！泰州这位“红马甲”获评“江苏最美”  ,,无,无,无,2020-02-26 16:05,微博 weibo.com,2,0,1
IvZltpZxs,#微观民生# 关于泰州市不动产登记中心有序恢复窗口服务的通告通告  ,,无,无,无,2020-02-26 15:30,微博 weibo.com,3,0,0
IvZhvxv4f,#微观民生# 今天，一起“云赏梅”！今天，一起“云赏梅”！  ,,无,无,无,2020-02-26 15:20,360安全浏览器,1,0,0
IvZ4qaA9O,#微观民生#【战疫路上“后生”争当急先锋】去年11月28日，姜堰区天目山街道成立揭牌， 是姜堰镇（街）中的“后生”。面对突如其来的新冠肺炎疫情，这支组建仅两个多月的“后生”队伍，迅速建立战时工作机制，拧成一股绳，以“不畏艰险、奋勇向进”的精神，连克重重难关，连创多个率先，始终掌握着防疫抗疫的主动权。“后生”的天目山街道有着一群80后90后的年轻面孔，他们充满活力，思维活跃，敢于创新，勇于担当，战“疫”路上，以“舍我其谁”的勇气，奋勇争先，演绎了一幕幕感人的故事。 原图 ,,http://wx4.sinaimg.cn/large/be780da6gy1gc9kmx4gp1j20b408cwhc.jpg,无,无,2020-02-26 14:48,微博 weibo.com,2,0,1
IvYLljxqo,#微观民生#【3万多名社区工作者冲在防控一线】 新冠肺炎疫情发生以来，全市民政系统坚决贯彻党中央国务院和省市委的统一部署，始终坚守在战疫情、保稳定的最前沿，兜牢民生底线，构筑起一座防疫长城守护着百姓安康。全市1719个城乡社区34329名社区工作者是防控一线的“逆行者”，是百姓信赖的“守护人”，彰显了基层社区工作者的担当精神，成为这场疫情阻击战的中坚力量。 原图 ,,http://wx3.sinaimg.cn/large/be780da6gy1gc9kl2k1izj20b408cgod.jpg,无,无,2020-02-26 14:01,微博 weibo.com,2,0,0
IvYe3AJ2p,#微观民生# 连续13天没有新增病例，泰州不少人开始松懈了，这两天大街小巷的人明显多了起来，小伙伴们的防护措施做得如何呢？疫情尚未解除！泰州这里竟已……  ,,无,无,无,2020-02-26 12:39,微博 weibo.com,4,1,1
IvXSy3JM4,#微观民生#【中行泰州分行六举措服务小微企业】新冠肺炎疫情发生以来，中国银行泰州分行按照始终与小微企业同进退，把做好疫情防控相关的金融服务放在首位，针对疫情防控相关的小微企业融资需求，推出加大信贷支持、降低贷款利率、开通绿色通道、提供多种线上金融产品、无还本续贷、主动对接存量切等“六大举措”。截至目前，该行已与7家疫情防控重点企业对接金融服务需求，达成3600万元的授信合作意向，帮助小微企业解决资金难题，保障了战疫物资生产供应。 ,,无,无,无,2020-02-26 11:46,微博 weibo.com,2,0,1
IvXJCjiec,#微观民生# 现阶段，宅就是安啊！现阶段，宅就是安啊！  ,,无,无,无,2020-02-26 11:24,微博 weibo.com,4,0,2
IvXI1zFeW,#微观民生# 即日起至3月1日，这些车次恢复运行即日起至3月1日，这些车次恢复运行  ,,无,无,无,2020-02-26 11:20,360安全浏览器,0,0,1
IvXz46e0D,#微观民生#【我市打出“组合拳”破解企业用工难】当前，疫情防控形势依然严峻，企业复工复产又刻不容缓，用工难成为企业普遍遭遇的问题。为此，我市从支持外来务工人员来泰上岗，鼓励外出务工人员留乡就业，帮助本地务工人员尽快返岗等方面入手，精准施策、多措并举，打出政策“组合拳”，着力破解企业用工难“瓶颈”，确保企业正常生产经营。 ,,无,无,无,2020-02-26 10:58,微博 weibo.com,0,0,1
IvX6Hjqbj,#微观民生# 图示泰州市新型冠状病毒肺炎疫情。  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/be780da6gy1gc9k9qe62mj20m80fpwfs.jpg,http://ww3.sinaimg.cn/large/be780da6gy1gc9k9ut8lnj20u016ee84.jpg",无,无,2020-02-26 09:48,360安全浏览器,2,2,2
IvWGLx778,2020年2月25日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例5例。2例重型病例转为普通型病例。 2月25日江苏无新增新型冠状病毒肺炎确诊病例  ,,无,无,无,2020-02-26 08:44,OPPO R9,11,1,2
